"R","Fl","A","Sp","Sm","B","H","L","loc"
693.3,50,1972,0,0,"0","0","0","2"
422,54,1972,0,0,"0","0","0","2"
736.6,70,1972,0,0,"0","0","0","2"
732.2,50,1972,0,0,"0","0","0","2"
1295.1,55,1893,0,0,"0","0","0","2"
1195.9,59,1893,0,0,"0","0","0","2"
395,46,1957,0,0,"0","1","0","2"
1285.6,94,1972,0,0,"0","0","0","2"
1175.4,93,1972,0,0,"0","0","0","2"
860,65,1967,0,0,"0","0","0","2"
709.6,36,1972,0,0,"0","0","0","2"
852.7,33,1972,0,0,"0","0","0","2"
657.4,57,1985,0,0,"0","0","0","2"
1310.2,76,1985,0,0,"0","0","0","2"
1237.8,75,1985,0,0,"0","0","0","2"
1212,83,1985,0,0,"0","0","0","2"
1511.2,83,1985,0,0,"0","0","0","2"
662.2,100,1957,0,0,"0","0","0","2"
527.5,50,1957,0,0,"0","0","1","2"
615.1,63,1972,0,0,"0","0","0","2"
852.3,93,1972,0,0,"0","0","1","2"
812.8,93,1972,0,0,"0","0","0","2"
798.3,83,1972,0,0,"0","0","1","2"
517.2,79,1972,0,0,"0","0","0","2"
593.1,79,1972,0,0,"0","0","0","2"
2869.9,90,1985,1,0,"0","0","0","3"
1623.6,60,1985,1,0,"0","0","1","3"
837.8,76,1957,0,1,"0","0","1","1"
750.2,75,1957,0,1,"0","0","0","1"
875.1,104,1957,0,1,"0","0","1","1"
809.7,79,1957,0,1,"0","0","0","1"
765.4,93,1972,0,1,"0","0","1","1"
1165.6,90,1961,0,0,"0","0","0","2"
422.8,50,1957,0,0,"0","1","0","2"
490.7,63,1893,0,0,"0","1","0","2"
813.3,120,1893,0,0,"0","1","0","2"
480.3,40,1959,0,0,"0","0","0","2"
1454.1,74,1957,0,0,"0","0","0","2"
537,76,1957,0,0,"0","0","0","2"
759.2,76,1957,0,0,"0","0","0","2"
700,36,1965,0,0,"0","0","0","2"
1127.8,62,1972,0,0,"0","0","0","2"
1090.4,99,1893,0,0,"0","0","0","2"
670.9,59,1957,0,0,"0","1","0","2"
349.9,33,1893,0,0,"1","1","0","2"
380,40,1911,0,0,"1","1","0","2"
1174.6,92,1934,0,0,"0","1","0","2"
673.8,69,1934,0,0,"0","1","0","2"
566.4,70,1893,0,0,"0","1","0","2"
334.3,54,1957,0,0,"0","1","0","2"
267.8,51,1957,0,0,"0","1","0","2"
783.7,73,1972,0,0,"0","0","0","2"
240.4,68,1893,0,0,"0","1","0","2"
